,CUST OCCU,SALARY,BPKB NAME,Harga Motor,SPOUSE SALARY,BIRTH DATE,ANGSURAN,GROUP OVERDUE DAYS
256,PENGRAJIN TANGAN,3700000.0,DIFFERENT,22000000,1400000.0,29,1001000,a) LANCAR
257,PEGAWAI SWASTA,2400000.0,SAME,11000000,,27,353000,a) LANCAR
258,SOPIR/PENGEMUDI,4500000.0,SAME,17500000,,23,308000,c) 1-30
259,PEGAWAI SWASTA,5400000.0,SAME,22000000,1000000.0,31,1295000,a) LANCAR
260,PEDAGANG,5000000.0,DIFFERENT,7600000,1000000.0,51,341000,c) 1-30
261,BURUH/PRT,3400000.0,DIFFERENT,4700000,,37,397000,c) 1-30
262,JASA,3900000.0,DIFFERENT,9800000,1600000.0,47,651000,a) LANCAR
263,JASA,3900000.0,DIFFERENT,12500000,1000000.0,32,526000,c) 1-30
264,GURU/PENDIDIKAN,3000000.0,DIFFERENT,10000000,1750000.0,39,560000,c) 1-30
265,PEDAGANG,2800000.0,SAME,11500000,,44,543000,a) LANCAR
266,PEGAWAI SWASTA,3000000.0,DIFFERENT,15400000,,22,475000,a) LANCAR
267,APARATUR PEMERINTAH,4000000.0,SAME,12000000,1500000.0,54,520000,a) LANCAR
268,PEGAWAI SWASTA,3500000.0,SAME,16800000,1000000.0,36,605000,a) LANCAR
269,PEGAWAI SWASTA,4000000.0,SAME,11000000,,27,719000,a) LANCAR
270,SOPIR/PENGEMUDI,3700000.0,DIFFERENT,10000000,2000000.0,56,761000,a) LANCAR
271,APARATUR PEMERINTAH,4500000.0,SAME,8900000,1500000.0,49,655000,a) LANCAR
272,PEDAGANG,4000000.0,DIFFERENT,11500000,9000000.0,32,714000,a) LANCAR
273,PEGAWAI SWASTA,3000000.0,DIFFERENT,8600000,1100000.0,28,308000,a) LANCAR
274,GURU/PENDIDIKAN,5000000.0,DIFFERENT,10100000,1000000.0,49,574000,a) LANCAR
275,PETANI,500000.0,DIFFERENT,13500000,1000000.0,59,624000,c) 1-30
276,PEDAGANG,5600000.0,DIFFERENT,12900000,1750000.0,45,525000,a) LANCAR
